--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,25,0,3,0,1,0,0,13,0,0,0,8,0,0,0,0,0,0,5,0,1,0,18
B-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
B-Benefactive,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Location,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Patient,12,1,1,0,0,1,0,65,0,0,0,9,0,0,0,0,0,0,21,0,0,0,44
B-Source,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,1
B-Target,0,1,0,0,0,3,0,1,0,7,0,0,0,0,0,0,1,0,0,1,2,0,12
B-Time,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8
I-Agent,1,0,0,0,0,0,0,5,0,0,0,35,0,2,0,1,0,0,26,0,4,0,28
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8
I-Benefactive,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,2,0,0,0,2
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
I-Location,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
I-Path,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
I-Patient,1,0,0,0,0,1,0,1,0,1,0,20,0,0,0,0,8,0,107,0,1,0,50
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1
I-Target,0,0,0,0,0,2,0,2,0,5,0,1,0,0,0,0,12,1,13,0,16,0,17
I-Time,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,43,47
O,36,1,3,0,0,7,2,73,2,10,7,78,1,17,0,2,21,1,84,2,7,17,32219



--------------------------------------------------
Confusion matrix for Fold 2, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_1595_0689-0699 - 1697 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,44,1,3,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,4,0,0,0,17
B-AgentPatient,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-Benefactive,5,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
B-Location,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,11,1,5,0,0,0,0,51,0,1,1,1,0,0,0,0,0,0,1,0,0,0,47
B-Source,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Target,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4
B-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Agent,11,0,0,0,0,1,0,2,0,0,0,46,2,6,0,1,4,0,38,0,0,0,73
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,23
I-Benefactive,0,0,0,0,0,0,0,3,0,0,0,7,0,15,0,0,1,0,12,0,0,0,53
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1
I-Location,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,1
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,8,0,1,0,0,3,0,14,0,0,6,23,2,5,0,0,1,0,88,0,1,13,293
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,27,0,3,0,2,6,0,30,0,7,15,16,1,4,0,0,10,0,67,1,1,50,26735



--------------------------------------------------
Confusion matrix for Fold 3, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_3598_0797-0809 - 1781 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,20,0,0,0,19,0,0,5,0,1,0,5,0,0,0,0,0,0,5,0,0,0,214
B-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80
B-Location,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,30,0,0,0,4,0,0,307,0,0,0,4,0,0,0,0,0,0,4,0,0,0,287
B-Source,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,14
B-Target,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20
B-Time,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,97
I-Agent,16,0,0,0,1,0,0,11,0,1,0,142,3,0,0,2,0,0,20,0,0,0,447
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,103
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,5,0,1,0,0,0,0,30,0,0,0,101,0,1,9,2,0,0,720,0,1,0,687
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Time,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20,119
O,114,0,1,1,2,5,0,89,6,9,16,315,1,0,8,2,2,0,259,1,0,36,73662



--------------------------------------------------
Confusion matrix for Fold 4, Test File: p_80-ner-event-peranno_NL-HaNA_1.04.02_2693_0117-0119 - 1747 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
B-AgentPatient,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
B-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Location,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Patient,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
B-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Target,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Time,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
I-Agent,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,1
I-AgentPatient,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,2,0,0,0,3
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
I-Location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Patient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,7
I-Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
O,11,0,0,0,0,2,0,6,0,1,0,4,0,0,0,0,2,0,9,0,0,1,3383



--------------------------------------------------
Confusion matrix for Fold 5, Test File: events_p_80-ner-NL-HaNA_1.04.02_2665_0459-0460 - 1746 - no title
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,4,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
