--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-CMTY_NAME,447,0,0,0,0,0,22,137,0,0,0,14,3,0,27,0,1,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,651
B-CMTY_QUAL,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
B-CMTY_QUANT,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
B-DATE,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
B-DOC,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
B-ETH_REL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC_ADJ,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
B-LOC_NAME,0,0,0,0,0,0,0,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,54
B-None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
B-PER_ATTR,0,0,0,16,0,0,0,0,0,0,70,1,34,0,0,30,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,1
B-PER_NAME,0,0,0,114,0,0,0,21,0,0,0,368,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,27,11,2,0,0,22
B-PRF,0,0,0,0,0,0,0,0,0,0,0,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,34
B-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-SHIP_TYPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-STATUS,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
I-CMTY_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
I-CMTY_QUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-CMTY_QUANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-DATE,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,133
I-DOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
I-ETH_REL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_NAME,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,78,0,0,129
I-None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ORG,0,0,0,0,0,0,14,0,0,13,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,90,0,0,20,0,0,0,8
I-PER_ATTR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,12,0,0,1
I-PER_NAME,0,0,0,0,0,0,3,42,0,0,0,0,8,3,0,0,0,0,0,9,0,0,0,2,0,0,0,593,0,8,0,0,143
I-PRF,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,68,0,0,0,38
I-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-SHIP_TYPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-STATUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,50,16,30,53,30,0,7,94,0,13,65,22,215,10,32,101,3,0,2,74,20,0,0,7,0,1,0,58,141,0,24,8,27008



--------------------------------------------------
Confusion matrix for Fold 2, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_1595_0689-0699 - 1697 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-CMTY_NAME,77,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
B-CMTY_QUAL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-CMTY_QUANT,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
B-DATE,0,0,0,137,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,75
B-DOC,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
B-ETH_REL,0,13,0,0,0,45,6,0,0,47,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
B-LOC_ADJ,0,0,0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
B-LOC_NAME,0,0,0,0,0,0,10,291,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56
B-None,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
B-ORG,0,0,0,0,0,0,0,0,0,47,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
B-PER_ATTR,3,0,0,0,0,0,0,0,0,0,464,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,63
B-PER_NAME,0,0,0,0,0,0,0,66,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,41,0,0,0,0,0
B-PRF,2,0,0,0,0,4,0,67,0,3,19,17,349,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96
B-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-SHIP_TYPE,21,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
B-STATUS,0,0,0,0,0,0,0,0,0,0,118,0,57,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
I-CMTY_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
I-CMTY_QUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-CMTY_QUANT,21,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,40
I-DATE,0,0,0,13,5,0,0,9,0,0,0,0,0,1,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,129
I-DOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ETH_REL,0,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
