--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-Agent,B-AgentPatient,B-Benefactive,B-Cargo,B-Instrument,B-Location,B-Path,B-Patient,B-Source,B-Target,B-Time,I-Agent,I-AgentPatient,I-Benefactive,I-Cargo,I-Instrument,I-Location,I-Path,I-Patient,I-Source,I-Target,I-Time,O
B-Agent,21,0,0,0,0,0,0,13,0,1,0,6,0,0,0,0,0,0,4,0,1,1,27
B-AgentPatient,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
B-Benefactive,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
B-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
B-Location,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
B-Path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-Patient,14,2,2,1,0,1,0,34,1,1,2,1,1,0,0,0,0,0,11,0,0,2,81
B-Source,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
B-Target,0,0,0,0,0,4,0,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,15
B-Time,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11
I-Agent,4,0,0,0,0,0,0,5,0,0,0,27,0,0,0,1,0,0,13,0,4,0,48
I-AgentPatient,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4
I-Benefactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,6
I-Cargo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
I-Location,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6
