--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-CMTY_NAME,455,0,0,0,0,0,53,60,0,0,0,0,16,30,40,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,659
B-CMTY_QUAL,15,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
B-CMTY_QUANT,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
B-DATE,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14
B-DOC,0,0,0,0,36,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
B-ETH_REL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC_ADJ,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
B-LOC_NAME,0,0,0,0,0,0,0,32,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,27,1,0,0,0
B-None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,57,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
B-PER_ATTR,0,0,0,16,0,0,0,0,0,0,58,11,32,0,0,29,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15
B-PER_NAME,0,0,0,116,0,0,0,12,0,0,0,341,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,0,0,14
B-PRF,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,51
B-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-SHIP_TYPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-STATUS,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
I-CMTY_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,39
I-CMTY_QUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-CMTY_QUANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-DATE,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,124
I-DOC,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
I-ETH_REL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,63,0,0,160
I-None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ORG,0,0,0,0,0,0,15,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,62,0,0,0,9
I-PER_ATTR,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,22,0,0,0,0
I-PER_NAME,0,0,0,0,0,0,0,35,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,609,16,0,0,0,130
I-PRF,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,54,0,0,0,42
I-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-SHIP_TYPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-STATUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,66,16,18,45,51,0,0,49,0,25,51,8,115,98,16,29,0,0,15,71,14,0,0,1,0,12,0,26,182,12,25,0,27139



--------------------------------------------------
Confusion matrix for Fold 2, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_1595_0689-0699 - 1697 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-CMTY_NAME,75,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
B-CMTY_QUAL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-CMTY_QUANT,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
B-DATE,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,89
B-DOC,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
B-ETH_REL,0,63,0,0,0,45,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
B-LOC_ADJ,0,0,0,0,0,0,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
B-LOC_NAME,0,0,0,14,0,0,0,247,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96
B-None,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,49
B-PER_ATTR,4,0,0,0,0,0,0,0,0,0,480,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
B-PER_NAME,0,0,0,0,0,0,0,87,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,21
B-PRF,0,0,0,0,7,0,0,42,0,21,5,8,347,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,93
B-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-SHIP_TYPE,21,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
B-STATUS,0,0,0,0,0,0,0,0,0,0,102,0,21,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
I-CMTY_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
I-CMTY_QUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-CMTY_QUANT,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,40
I-DATE,0,0,0,13,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,146
I-DOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ETH_REL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,63
I-LOC_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
I-LOC_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
